,MovieID,Rating,count,Title,Genres
2651,2858,4.3173862310385065,3428,American Beauty (1999),Comedy|Drama
253,260,4.453694416583082,2991,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Fantasy|Sci-Fi
1106,1196,4.292976588628763,2990,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Drama|Sci-Fi|War
1120,1210,4.022892819979188,2883,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Romance|Sci-Fi|War
1848,2028,4.337353938937053,2653,Saving Private Ryan (1998),Action|Drama|War
575,589,4.058512646281616,2649,Terminator 2: Judgment Day (1991),Action|Sci-Fi|Thriller
2374,2571,4.315830115830116,2590,"Matrix, The (1999)",Action|Sci-Fi|Thriller
579,593,4.3518231186966645,2578,"Silence of the Lambs, The (1991)",Drama|Thriller
1108,1198,4.477724741447892,2514,Raiders of the Lost Ark (1981),Action|Adventure
593,608,4.254675686430561,2513,Fargo (1996),Crime|Drama|Thriller
2557,2762,4.406262708418057,2459,"Sixth Sense, The (1999)",Thriller
106,110,4.234957020057307,2443,Braveheart (1995),Action|Drama|War
2203,2396,4.127479949345715,2369,Shakespeare in Love (1998),Comedy|Romance
1107,1197,4.3037100949094045,2318,"Princess Bride, The (1987)",Action|Adventure|Comedy|Romance
513,527,4.510416666666667,2304,Schindler's List (1993),Drama|War
1485,1617,4.219405594405594,2288,L.A. Confidential (1997),Crime|Film-Noir|Mystery|Thriller
2785,2997,4.125390450691656,2241,Being John Malkovich (1999),Comedy
309,318,4.554557700942973,2227,"Shawshank Redemption, The (1994)",Drama
802,858,4.524966261808367,2223,"Godfather, The (1972)",Action|Crime|Drama
346,356,4.087967183226983,2194,Forrest Gump (1994),Comedy|Romance|War
287,296,4.278212805158913,2171,Pulp Fiction (1994),Crime|Drama
1148,1240,4.152049571020019,2098,"Terminator, The (1984)",Action|Sci-Fi|Thriller
0,1,4.146846413095811,2077,Toy Story (1995),Animation|Children's|Comedy
1124,1214,4.159584980237154,2024,Alien (1979),Action|Horror|Sci-Fi|Thriller
443,457,4.103258145363409,1995,"Fugitive, The (1993)",Action|Thriller
3341,3578,4.106029106029106,1924,Gladiator (2000),Action|Drama
1110,1200,4.125824175824176,1820,Aliens (1986),Action|Sci-Fi|Thriller|War
527,541,4.273333333333333,1800,Blade Runner (1982),Film-Noir|Sci-Fi
1167,1259,4.0969187675070025,1785,Stand by Me (1986),Adventure|Comedy|Drama
49,50,4.517106001121705,1783,"Usual Suspects, The (1995)",Crime|Thriller
1104,1193,4.390724637681159,1725,One Flew Over the Cuckoo's Nest (1975),Drama
858,919,4.247962747380675,1718,"Wizard of Oz, The (1939)",Adventure|Children's|Drama|Musical
863,924,4.068764568764569,1716,2001: A Space Odyssey (1968),Drama|Mystery|Sci-Fi|Thriller
1288,1387,4.089569829110195,1697,Jaws (1975),Action|Horror
1131,1221,4.357565011820331,1692,"Godfather: Part II, The (1974)",Action|Crime|Drama
851,912,4.412822049131217,1669,Casablanca (1942),Drama|Romance|War
971,1036,4.121848739495798,1666,Die Hard (1988),Action|Thriller
1123,1213,4.275196137598069,1657,GoodFellas (1990),Crime|Drama
1478,1610,4.052058111380146,1652,"Hunt for Red October, The (1990)",Action|Thriller
1199,1291,4.133292383292384,1628,Indiana Jones and the Last Crusade (1989),Action|Adventure
1059,1136,4.335209505941213,1599,Monty Python and the Holy Grail (1974),Comedy
2898,3114,4.218927444794953,1585,Toy Story 2 (1999),Animation|Children's|Comedy
1215,1307,4.073341836734694,1568,When Harry Met Sally... (1989),Comedy|Romance
1563,1704,4.176356589147287,1548,Good Will Hunting (1997),Drama
